구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2013년03월23일,1858.35,1769.28,1755.24,1776.25,1758.27,1784.69,1769.81,1776.18,1790.22,1774.94,1786.79,1770.53,1773.32,1766.67,1771.65,1780.28,1782.98
2013년03월24일,1857.36,1768.03,1754.66,1774.78,1756.79,1784.02,1767.71,1775.51,1790.02,1774.06,1786.49,1769.87,1772.25,1766.08,1770.68,1779.64,1782.61
2013년03월25일,1856.70,1766.78,1754.43,1775.26,1757.79,1783.71,1766.01,1774.55,1789.32,1772.99,1786.06,1768.90,1771.88,1765.25,1769.65,1779.83,1783.16
2013년03월26일,1855.39,1765.11,1751.01,1773.48,1755.71,1781.68,1763.15,1772.95,1787.99,1772.13,1784.97,1767.32,1770.52,1763.90,1767.62,1754.16,1781.68
2013년03월27일,1853.24,1763.07,1749.10,1772.20,1754.81,1780.78,1760.64,1771.08,1786.38,1771.05,1783.49,1766.05,1768.63,1762.40,1765.84,1750.01,1781.59
2013년03월28일,1850.63,1760.85,1747.38,1769.71,1754.20,1779.64,1758.49,1769.24,1784.64,1770.00,1782.23,1764.55,1766.63,1760.76,1764.16,1749.27,1781.87
2013년03월29일,1849.13,1759.10,1745.39,1767.60,1752.81,1778.98,1756.18,1767.66,1783.15,1768.51,1780.71,1763.59,1765.07,1759.61,1763.04,1749.22,1780.20
2013년03월30일,1848.03,1757.90,1743.35,1765.65,1751.67,1777.14,1755.14,1766.32,1782.27,1767.64,1779.67,1762.27,1763.99,1758.11,1761.53,1749.48,1779.09
2013년03월31일,1846.95,1757.38,1743.26,1764.26,1750.85,1776.73,1753.40,1765.64,1781.59,1766.71,1779.29,1761.73,1763.43,1757.32,1760.73,1749.45,1781.58
2013년04월01일,1847.85,1756.22,1741.51,1763.75,1749.62,1776.13,1752.52,1764.26,1780.28,1764.83,1776.80,1759.57,1760.58,1755.33,1758.94,1749.53,1779.50
2013년04월02일,1845.56,1754.64,1740.27,1761.18,1747.71,1774.45,1750.45,1762.72,1777.83,1763.39,1775.30,1757.88,1759.53,1753.56,1757.50,1778.17,1777.25
2013년04월03일,1844.52,1752.95,1738.81,1761.17,1746.36,1773.73,1749.62,1761.58,1775.69,1761.61,1774.28,1756.61,1758.06,1751.35,1755.93,1778.63,1777.09
2013년04월04일,1843.16,1751.42,1738.54,1759.57,1744.25,1770.94,1747.35,1759.96,1774.13,1760.60,1773.00,1755.02,1755.93,1749.20,1754.60,1778.81,1776.35
2013년04월05일,1841.69,1751.19,1736.79,1757.96,1742.43,1769.48,1746.59,1758.90,1772.70,1759.38,1771.80,1752.80,1754.90,1747.94,1753.53,1779.01,1774.87
2013년04월06일,1839.81,1748.57,1735.50,1756.45,1739.31,1766.83,1744.25,1757.69,1771.26,1758.06,1771.10,1751.09,1753.89,1746.43,1752.30,1778.78,1774.31
2013년04월07일,1839.52,1748.43,1734.38,1756.11,1739.05,1766.08,1743.48,1757.27,1771.22,1757.25,1770.78,1750.50,1753.41,1745.84,1751.42,1779.21,1772.64
2013년04월08일,1839.34,1747.72,1734.73,1754.96,1737.79,1765.83,1742.35,1756.88,1770.08,1756.97,1769.81,1749.28,1752.91,1744.99,1750.83,1779.06,1773.94
2013년04월09일,1838.32,1746.59,1733.26,1753.53,1735.48,1763.86,1741.07,1756.14,1768.81,1756.04,1768.63,1747.65,1751.68,1743.42,1749.68,1771.15,1773.75
2013년04월10일,1837.55,1745.59,1731.87,1753.59,1734.47,1762.44,1740.32,1755.50,1767.70,1755.09,1767.93,1746.55,1750.41,1742.42,1748.42,1770.48,1773.38
2013년04월11일,1835.71,1744.24,1730.57,1752.69,1732.86,1761.07,1739.42,1754.60,1766.85,1753.58,1766.68,1745.15,1749.64,1741.79,1747.54,1769.89,1772.46
2013년04월12일,1836.22,1743.29,1728.62,1752.17,1731.73,1759.60,1738.75,1753.78,1765.70,1752.71,1766.05,1743.98,1748.93,1740.65,1746.51,1769.75,1773.07
2013년04월13일,1836.04,1742.27,1727.87,1752.08,1729.97,1758.62,1737.16,1752.76,1765.03,1752.22,1765.80,1742.95,1748.00,1740.09,1745.10,1770.15,1772.61
2013년04월14일,1835.91,1742.59,1726.93,1750.53,1729.53,1758.23,1735.85,1752.33,1764.26,1751.33,1765.15,1742.63,1747.38,1739.17,1744.81,1769.77,1772.33
2013년04월15일,1834.84,1742.17,1725.43,1751.52,1728.25,1757.63,1736.61,1752.12,1763.65,1750.67,1764.59,1742.06,1746.78,1738.30,1744.82,1770.33,1772.09
2013년04월16일,1831.42,1740.97,1723.38,1747.88,1726.17,1755.49,1734.03,1749.98,1762.39,1749.37,1763.12,1740.77,1745.13,1736.47,1742.97,1745.97,1769.51
2013년04월17일,1828.30,1737.69,1721.72,1744.06,1723.39,1753.42,1731.92,1746.85,1760.11,1747.77,1760.62,1739.54,1742.71,1734.36,1740.42,1743.13,1766.09
2013년04월18일,1823.78,1734.33,1719.47,1739.85,1718.31,1750.61,1729.14,1743.44,1758.97,1745.17,1758.98,1736.86,1740.36,1732.14,1738.21,1742.75,1762.20
2013년04월19일,1820.23,1731.66,1716.79,1734.46,1714.46,1747.09,1726.71,1740.52,1756.78,1743.06,1756.97,1734.20,1737.25,1729.97,1735.82,1714.08,1760.50
2013년04월20일,1817.47,1728.36,1714.21,1730.30,1710.45,1743.15,1723.96,1737.97,1754.58,1740.83,1755.06,1731.53,1735.16,1727.74,1733.05,1709.95,1756.05
2013년04월21일,1816.38,1727.64,1713.40,1728.58,1708.53,1740.72,1721.97,1736.75,1753.11,1739.41,1753.83,1730.63,1733.68,1726.39,1731.77,1709.79,1754.29
