구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2016년02월07일,725.00,600.00,565.27,542.71,553.62,585.50,715.72,579.28,536.58,596.94,558.43,563.10,545.87,510.79,574.25,510.02,608.33
2016년02월08일,725.00,600.00,569.81,542.71,553.62,585.50,715.72,579.39,536.50,595.68,558.08,561.89,544.71,511.27,577.71,513.55,608.33
2016년02월09일,725.00,600.00,569.81,542.71,553.62,585.50,715.72,578.04,536.28,595.68,553.49,560.86,544.78,511.10,576.74,510.83,608.33
2016년02월10일,725.00,590.00,558.80,542.71,553.62,585.50,727.75,576.73,535.75,594.06,551.67,562.20,542.26,511.10,575.78,510.72,608.33
2016년02월11일,725.00,590.00,558.80,544.83,553.62,585.50,727.75,577.74,536.69,593.25,553.23,562.07,543.19,507.57,575.02,509.89,608.33
2016년02월12일,765.00,590.00,558.80,548.00,553.62,585.50,730.66,576.42,533.85,588.86,554.21,560.32,544.12,505.42,572.55,510.41,608.33
2016년02월13일,765.00,622.00,550.80,545.42,548.50,585.50,719.36,576.28,532.86,591.71,550.83,556.15,541.30,504.04,570.19,507.27,620.00
2016년02월14일,765.00,590.00,563.45,553.83,553.62,585.50,704.81,574.21,530.17,584.76,549.42,555.27,539.51,502.38,567.96,508.92,620.00
2016년02월15일,765.00,590.00,562.54,553.83,553.62,585.50,700.27,571.96,528.02,584.24,549.90,555.23,539.86,501.74,566.99,509.42,620.00
2016년02월16일,765.00,591.42,562.54,553.83,553.62,585.50,700.27,574.44,527.08,578.29,554.15,555.18,539.38,499.53,562.42,509.55,595.00
2016년02월17일,765.00,591.42,560.80,552.33,553.62,585.50,703.45,577.54,525.90,576.64,546.22,554.97,536.41,500.13,560.29,509.64,595.00
2016년02월18일,765.00,588.57,560.80,550.83,547.37,585.50,703.45,577.54,524.81,577.00,543.63,554.61,535.55,499.42,556.33,508.71,610.00
2016년02월19일,765.00,588.57,562.54,540.57,546.12,585.75,693.00,577.82,525.26,576.86,540.09,553.91,533.47,496.06,549.69,510.28,602.71
2016년02월20일,765.00,581.42,562.54,540.57,543.62,585.75,686.63,577.49,521.53,576.34,536.77,547.20,529.90,494.91,550.13,510.28,602.71
2016년02월21일,765.00,581.42,553.45,540.57,540.25,507.66,693.00,576.60,519.78,573.03,537.75,548.06,529.98,496.07,548.17,510.28,602.71
2016년02월22일,765.00,581.42,553.45,540.57,540.25,507.66,693.00,576.90,519.08,574.43,535.26,547.96,528.37,496.07,549.89,508.16,599.85
2016년02월23일,765.00,578.33,553.45,530.57,540.25,507.66,693.00,574.69,520.42,568.58,544.85,546.04,528.09,494.56,545.75,507.08,599.85
2016년02월24일,765.00,578.33,550.72,530.57,540.25,585.75,693.00,573.28,517.09,571.65,540.16,544.75,526.56,490.80,542.73,504.86,599.85
2016년02월25일,765.00,578.33,550.72,530.57,540.25,585.75,693.00,570.47,518.61,570.27,539.61,542.32,527.19,490.73,542.38,504.69,583.16
2016년02월26일,765.00,578.33,547.09,535.66,540.25,558.75,694.83,570.33,513.46,565.73,538.04,542.01,520.15,490.99,541.62,504.25,584.00
2016년02월27일,765.00,578.33,547.09,527.00,538.37,558.75,692.33,565.57,514.17,566.24,537.01,541.71,521.08,492.11,542.96,506.80,584.00
2016년02월28일,765.00,578.33,547.09,526.50,538.37,558.75,692.33,565.75,512.67,565.20,538.02,541.39,520.33,487.47,543.58,506.80,584.00
2016년02월29일,765.00,578.33,547.09,526.50,538.37,576.25,692.33,565.93,512.18,565.53,536.43,541.28,520.05,487.55,542.65,506.80,584.00
2016년03월01일,765.00,578.33,547.09,542.66,538.37,576.25,692.33,567.06,509.20,564.86,532.30,540.87,517.60,487.27,544.25,507.08,584.00
2016년03월02일,765.00,578.33,547.09,539.33,533.37,576.25,692.33,566.90,511.06,564.77,527.43,540.88,517.01,487.20,543.62,508.45,584.00
2016년03월03일,765.00,567.14,547.09,538.00,533.37,576.25,678.90,562.39,509.08,566.98,526.89,540.97,514.04,487.86,543.67,512.91,584.00
2016년03월04일,765.00,567.14,547.09,543.85,533.37,576.25,687.33,566.50,509.07,567.57,527.80,542.61,516.56,487.39,541.85,512.64,584.00
2016년03월05일,765.00,567.14,547.09,547.28,533.37,576.25,700.25,564.00,509.83,567.23,527.28,540.45,515.61,487.17,540.65,512.89,584.00
2016년03월06일,765.00,567.14,547.09,547.28,533.37,576.25,692.33,566.47,509.83,562.87,525.56,541.33,513.77,488.41,541.50,517.82,584.00
2016년03월07일,765.00,581.42,547.09,547.28,533.37,576.25,692.33,565.53,508.59,560.29,526.41,541.73,514.37,488.08,541.59,517.30,584.00
2016년03월08일,480.00,581.42,547.09,547.28,533.37,576.25,692.33,565.28,509.69,561.94,529.33,541.54,511.78,486.13,541.53,513.10,588.00
2016년03월09일,480.00,584.28,545.27,549.85,533.37,576.25,692.33,564.31,506.84,560.42,529.01,541.54,515.39,485.44,538.96,516.38,588.00
2016년03월10일,480.00,584.28,545.27,549.85,535.87,578.50,692.33,565.08,506.53,561.77,527.44,541.35,511.49,485.44,543.67,538.42,588.00
2016년03월11일,490.00,584.28,543.45,553.14,531.75,578.50,692.33,566.11,506.93,561.86,527.48,541.86,508.89,486.43,539.23,539.94,588.00
2016년03월12일,490.00,584.28,543.45,548.57,539.25,578.50,692.33,571.07,506.62,558.38,529.13,541.78,508.89,487.88,540.78,548.36,588.00
2016년03월13일,490.00,584.28,543.45,551.00,539.25,578.50,687.33,572.94,507.09,562.31,529.36,539.69,510.03,487.96,539.91,548.94,588.00
2016년03월14일,490.00,610.00,543.45,551.00,539.25,598.50,687.33,573.42,508.00,559.90,529.55,539.69,511.55,487.52,540.31,549.07,593.66
2016년03월15일,490.00,610.00,549.00,553.57,539.25,598.50,689.00,574.09,507.80,561.50,529.35,540.31,510.07,488.96,539.68,553.05,593.66
2016년03월16일,490.00,613.33,549.00,556.28,539.25,598.50,694.83,572.90,508.59,561.24,532.82,539.12,511.86,490.46,540.43,555.28,602.00
2016년03월17일,490.00,621.66,549.00,560.42,541.75,605.25,689.83,575.15,512.01,562.56,532.25,539.87,513.18,488.18,543.04,565.63,601.71
2016년03월18일,490.00,621.66,549.00,560.42,543.00,605.25,693.16,577.43,513.57,565.06,533.28,540.00,513.57,490.93,543.53,564.56,591.28
2016년03월19일,490.00,626.00,530.72,560.42,541.75,585.25,701.08,576.66,515.71,567.54,537.13,538.38,513.52,492.93,543.12,565.42,591.28
2016년03월20일,490.00,626.00,530.72,561.16,544.12,585.25,692.33,583.34,519.08,561.59,539.44,540.30,513.20,493.81,544.72,567.71,591.28
