,날짜,지역,일반유가
0,2013-01-24,서울,1833.8
0,2013-01-24,부산,1744.3
0,2013-01-24,대구,1731.31
0,2013-01-24,인천,1740.93
0,2013-01-24,광주,1723.93
0,2013-01-24,대전,1744.89
0,2013-01-24,울산,1741.98
0,2013-01-24,경기,1747.82
0,2013-01-24,강원,1754.48
0,2013-01-24,충북,1743.49
0,2013-01-24,충남,1753.34
0,2013-01-24,전북,1734.98
0,2013-01-24,전남,1736.01
0,2013-01-24,경북,1734.83
0,2013-01-24,경남,1736.14
0,2013-01-24,제주,1761.84
0,2013-01-24,세종,1742.61
0,2013-01-25,서울,1832.71
0,2013-01-25,부산,1743.88
0,2013-01-25,대구,1730.77
0,2013-01-25,인천,1740.43
0,2013-01-25,광주,1723.96
0,2013-01-25,대전,1743.97
0,2013-01-25,울산,1741.2
0,2013-01-25,경기,1747.29
0,2013-01-25,강원,1754.16
0,2013-01-25,충북,1743.59
0,2013-01-25,충남,1752.76
0,2013-01-25,전북,1734.63
0,2013-01-25,전남,1735.46
0,2013-01-25,경북,1734.38
0,2013-01-25,경남,1735.6
0,2013-01-25,제주,1747.91
0,2013-01-25,세종,1742.8
0,2013-01-26,서울,1833.29
0,2013-01-26,부산,1742.48
0,2013-01-26,대구,1730.74
0,2013-01-26,인천,1739.3
0,2013-01-26,광주,1724.76
0,2013-01-26,대전,1743.5
0,2013-01-26,울산,1740.44
0,2013-01-26,경기,1746.88
0,2013-01-26,강원,1754.27
0,2013-01-26,충북,1742.95
0,2013-01-26,충남,1752.52
0,2013-01-26,전북,1734.41
0,2013-01-26,전남,1735.38
0,2013-01-26,경북,1734.03
0,2013-01-26,경남,1735.34
0,2013-01-26,제주,1747.01
0,2013-01-26,세종,1744.24
0,2013-01-27,서울,1832.8
0,2013-01-27,부산,1742.09
0,2013-01-27,대구,1730.02
0,2013-01-27,인천,1739.54
0,2013-01-27,광주,1724.07
0,2013-01-27,대전,1743.15
0,2013-01-27,울산,1739.76
0,2013-01-27,경기,1746.65
0,2013-01-27,강원,1753.73
0,2013-01-27,충북,1742.38
0,2013-01-27,충남,1752.19
0,2013-01-27,전북,1733.85
0,2013-01-27,전남,1734.96
0,2013-01-27,경북,1733.75
0,2013-01-27,경남,1734.96
0,2013-01-27,제주,1747.06
0,2013-01-27,세종,1742.75
0,2013-01-28,서울,1832.75
0,2013-01-28,부산,1742.39
0,2013-01-28,대구,1730.59
0,2013-01-28,인천,1740.28
0,2013-01-28,광주,1723.62
0,2013-01-28,대전,1743.01
0,2013-01-28,울산,1741.08
0,2013-01-28,경기,1746.38
0,2013-01-28,강원,1753.75
0,2013-01-28,충북,1742.12
0,2013-01-28,충남,1752.06
0,2013-01-28,전북,1733.44
0,2013-01-28,전남,1735.34
0,2013-01-28,경북,1733.72
0,2013-01-28,경남,1735.32
0,2013-01-28,제주,1746.59
0,2013-01-28,세종,1741.96
0,2013-01-29,서울,1832.88
0,2013-01-29,부산,1743.13
0,2013-01-29,대구,1730.92
0,2013-01-29,인천,1740.07
0,2013-01-29,광주,1724.84
0,2013-01-29,대전,1743.49
0,2013-01-29,울산,1741.61
0,2013-01-29,경기,1746.44
0,2013-01-29,강원,1753.11
0,2013-01-29,충북,1742.09
0,2013-01-29,충남,1751.46
0,2013-01-29,전북,1733.32
0,2013-01-29,전남,1735.21
0,2013-01-29,경북,1733.3
0,2013-01-29,경남,1735.72
0,2013-01-29,제주,1746.51
0,2013-01-29,세종,1741.1
0,2013-01-30,서울,1832.71
0,2013-01-30,부산,1743.11
0,2013-01-30,대구,1731.16
0,2013-01-30,인천,1739.8
0,2013-01-30,광주,1724.08
0,2013-01-30,대전,1743.29
0,2013-01-30,울산,1741.36
0,2013-01-30,경기,1746.31
0,2013-01-30,강원,1753.31
0,2013-01-30,충북,1742.17
0,2013-01-30,충남,1751.23
0,2013-01-30,전북,1733.16
0,2013-01-30,전남,1734.46
0,2013-01-30,경북,1732.99
0,2013-01-30,경남,1735.36
0,2013-01-30,제주,1746.56
0,2013-01-30,세종,1741.92
0,2013-01-31,서울,1832.79
0,2013-01-31,부산,1742.86
0,2013-01-31,대구,1731.15
0,2013-01-31,인천,1739.22
0,2013-01-31,광주,1723.06
0,2013-01-31,대전,1743.29
0,2013-01-31,울산,1740.85
0,2013-01-31,경기,1746.07
0,2013-01-31,강원,1752.5
0,2013-01-31,충북,1741.55
0,2013-01-31,충남,1751.29
0,2013-01-31,전북,1732.9
0,2013-01-31,전남,1734.29
0,2013-01-31,경북,1732.75
0,2013-01-31,경남,1735.08
0,2013-01-31,제주,1745.97
0,2013-01-31,세종,1740.83
0,2013-02-01,서울,1833.08
0,2013-02-01,부산,1742.09
0,2013-02-01,대구,1731.67
0,2013-02-01,인천,1739.84
0,2013-02-01,광주,1722.56
0,2013-02-01,대전,1742.54
0,2013-02-01,울산,1742.09
0,2013-02-01,경기,1745.51
0,2013-02-01,강원,1752.38
0,2013-02-01,충북,1741.67
0,2013-02-01,충남,1750.26
0,2013-02-01,전북,1732.35
0,2013-02-01,전남,1734.09
0,2013-02-01,경북,1732.71
0,2013-02-01,경남,1734.69
0,2013-02-01,제주,1746.49
0,2013-02-01,세종,1739.38
0,2013-02-02,서울,1832.8
0,2013-02-02,부산,1742.13
0,2013-02-02,대구,1731.77
0,2013-02-02,인천,1740.25
0,2013-02-02,광주,1722.94
0,2013-02-02,대전,1743.24
0,2013-02-02,울산,1745.52
0,2013-02-02,경기,1746.04
0,2013-02-02,강원,1752.21
0,2013-02-02,충북,1741.63
0,2013-02-02,충남,1750.34
0,2013-02-02,전북,1732.61
0,2013-02-02,전남,1734.6
0,2013-02-02,경북,1732.6
0,2013-02-02,경남,1734.89
0,2013-02-02,제주,1746.1
0,2013-02-02,세종,1739.83
0,2013-02-03,서울,1832.84
0,2013-02-03,부산,1741.45
0,2013-02-03,대구,1731.23
0,2013-02-03,인천,1740.09
0,2013-02-03,광주,1722.81
0,2013-02-03,대전,1743.45
0,2013-02-03,울산,1744.97
0,2013-02-03,경기,1745.83
0,2013-02-03,강원,1751.79
0,2013-02-03,충북,1741.58
0,2013-02-03,충남,1749.94
0,2013-02-03,전북,1732.18
0,2013-02-03,전남,1734.12
0,2013-02-03,경북,1732.65
0,2013-02-03,경남,1734.74
0,2013-02-03,제주,1745.87
0,2013-02-03,세종,1739.1
0,2013-02-04,서울,1833.21
0,2013-02-04,부산,1741.37
0,2013-02-04,대구,1731.5
0,2013-02-04,인천,1739.9
0,2013-02-04,광주,1723.23
0,2013-02-04,대전,1744.15
0,2013-02-04,울산,1746.74
0,2013-02-04,경기,1746.1
0,2013-02-04,강원,1752.01
0,2013-02-04,충북,1741.59
0,2013-02-04,충남,1749.57
0,2013-02-04,전북,1732.19
0,2013-02-04,전남,1734.07
0,2013-02-04,경북,1732.7
0,2013-02-04,경남,1734.95
0,2013-02-04,제주,1745.87
0,2013-02-04,세종,1740.7
0,2013-02-05,서울,1836.65
0,2013-02-05,부산,1742.8
0,2013-02-05,대구,1732.39
0,2013-02-05,인천,1740.45
0,2013-02-05,광주,1723.37
0,2013-02-05,대전,1743.44
0,2013-02-05,울산,1748.36
0,2013-02-05,경기,1747.94
0,2013-02-05,강원,1752.21
0,2013-02-05,충북,1742.78
0,2013-02-05,충남,1750.71
0,2013-02-05,전북,1732.51
0,2013-02-05,전남,1734.39
0,2013-02-05,경북,1733.58
0,2013-02-05,경남,1735.7
0,2013-02-05,제주,1774.37
0,2013-02-05,세종,1740.38
0,2013-02-06,서울,1838.18
0,2013-02-06,부산,1743.86
0,2013-02-06,대구,1733.54
0,2013-02-06,인천,1742.18
0,2013-02-06,광주,1726.1
0,2013-02-06,대전,1744.41
0,2013-02-06,울산,1749.98
0,2013-02-06,경기,1748.62
0,2013-02-06,강원,1752.74
0,2013-02-06,충북,1742.87
0,2013-02-06,충남,1751.43
0,2013-02-06,전북,1733.11
0,2013-02-06,전남,1734.42
0,2013-02-06,경북,1733.92
0,2013-02-06,경남,1736.58
0,2013-02-06,제주,1775.33
0,2013-02-06,세종,1739.85
0,2013-02-07,서울,1840.4
0,2013-02-07,부산,1745.95
0,2013-02-07,대구,1734.9
0,2013-02-07,인천,1743.92
0,2013-02-07,광주,1728.31
0,2013-02-07,대전,1745.46
0,2013-02-07,울산,1751.67
0,2013-02-07,경기,1749.92
0,2013-02-07,강원,1753.64
0,2013-02-07,충북,1743.49
0,2013-02-07,충남,1751.73
0,2013-02-07,전북,1733.76
0,2013-02-07,전남,1735.47
0,2013-02-07,경북,1734.82
0,2013-02-07,경남,1736.78
0,2013-02-07,제주,1775.18
0,2013-02-07,세종,1740.01
0,2013-02-08,서울,1843.63
0,2013-02-08,부산,1748.64
0,2013-02-08,대구,1738.13
0,2013-02-08,인천,1745.34
0,2013-02-08,광주,1732.17
